Group,Family,Comparison,Metric,block,p_value
6assets,external,SBCA vs Dow Jones,AR,60,0.1378
6assets,external,SBCA vs Dow Jones,SR,60,0.0425
6assets,external,SBCA vs Dow Jones,Sortino,60,0.058
6assets,external,SBCA vs Dow Jones,MDD,60,0.0126
6assets,external,SBCA vs Dow Jones,AR,120,0.1297
6assets,external,SBCA vs Dow Jones,SR,120,0.039
6assets,external,SBCA vs Dow Jones,Sortino,120,0.0552
6assets,external,SBCA vs Dow Jones,MDD,120,0.0196
6assets,external,SBCA vs MVO,AR,20,0.7122
6assets,external,SBCA vs MVO,SR,20,0.2004
6assets,external,SBCA vs MVO,Sortino,20,0.3438
6assets,external,SBCA vs MVO,MDD,20,0.0023
6assets,external,SBCA vs MVO,AR,40,0.7032
6assets,external,SBCA vs MVO,SR,40,0.1965
6assets,external,SBCA vs MVO,Sortino,40,0.3549
6assets,external,SBCA vs MVO,MDD,40,0.0026
6assets,external,SBCA vs MVO,AR,60,0.7042
6assets,external,SBCA vs MVO,SR,60,0.192
6assets,external,SBCA vs MVO,Sortino,60,0.3692
6assets,external,SBCA vs MVO,MDD,60,0.0011
6assets,external,SBCA vs MVO,AR,120,0.7045
6assets,external,SBCA vs MVO,SR,120,0.2107
6assets,external,SBCA vs MVO,Sortino,120,0.3691
6assets,external,SBCA vs MVO,MDD,120,0.001
