Group,Family,Comparison,Metric,block,p_value
6assets,external,SBCA vs Equal Weight,SR,40,0.7873
6assets,external,SBCA vs Equal Weight,Sortino,40,0.786
6assets,external,SBCA vs Equal Weight,MDD,40,0.6503
6assets,external,SBCA vs Equal Weight,AR,60,0.7806
6assets,external,SBCA vs Equal Weight,SR,60,0.794
6assets,external,SBCA vs Equal Weight,Sortino,60,0.789
6assets,external,SBCA vs Equal Weight,MDD,60,0.591
6assets,external,SBCA vs Equal Weight,AR,120,0.768
6assets,external,SBCA vs Equal Weight,SR,120,0.8057
6assets,external,SBCA vs Equal Weight,Sortino,120,0.7829
6assets,external,SBCA vs Equal Weight,MDD,120,0.7552
6assets,external,SBCA vs Dow Jones,AR,20,0.1595
6assets,external,SBCA vs Dow Jones,SR,20,0.0647
6assets,external,SBCA vs Dow Jones,Sortino,20,0.0715
6assets,external,SBCA vs Dow Jones,MDD,20,0.0103
6assets,external,SBCA vs Dow Jones,AR,40,0.1521
6assets,external,SBCA vs Dow Jones,SR,40,0.0586
6assets,external,SBCA vs Dow Jones,Sortino,40,0.0676
6assets,external,SBCA vs Dow Jones,MDD,40,0.0123
6assets,external,SBCA vs Dow Jones,AR,60,0.1377
6assets,external,SBCA vs Dow Jones,SR,60,0.0424
6assets,external,SBCA vs Dow Jones,Sortino,60,0.058
6assets,external,SBCA vs Dow Jones,MDD,60,0.0126
6assets,external,SBCA vs Dow Jones,AR,120,0.1298
6assets,external,SBCA vs Dow Jones,SR,120,0.039
6assets,external,SBCA vs Dow Jones,Sortino,120,0.0552
6assets,external,SBCA vs Dow Jones,MDD,120,0.0196
6assets,external,SBCA vs MVO,AR,20,0.7121
6assets,external,SBCA vs MVO,SR,20,0.2005
6assets,external,SBCA vs MVO,Sortino,20,0.3439
6assets,external,SBCA vs MVO,MDD,20,0.0023
6assets,external,SBCA vs MVO,AR,40,0.7032
6assets,external,SBCA vs MVO,SR,40,0.1966
6assets,external,SBCA vs MVO,Sortino,40,0.355
6assets,external,SBCA vs MVO,MDD,40,0.0026
6assets,external,SBCA vs MVO,AR,60,0.7042
6assets,external,SBCA vs MVO,SR,60,0.1919
6assets,external,SBCA vs MVO,Sortino,60,0.3694
6assets,external,SBCA vs MVO,MDD,60,0.0011
6assets,external,SBCA vs MVO,AR,120,0.7045
6assets,external,SBCA vs MVO,SR,120,0.2106
6assets,external,SBCA vs MVO,Sortino,120,0.3693
6assets,external,SBCA vs MVO,MDD,120,0.001
